Date,Open,High,Low,Close,Change,y,Change%,Volume('000 shares),RSV,%K,%D,DI,EMA12,EMA26,DIF,MACD
2020/10/26,455,455,450,450,-2,-2,-0.44,15800.622,0.1,0.31181888,0.472173546,451.25,454.6666667,445.4278846,9.238782051,5.90357906
2020/10/23,458,458,451.5,452,-3,-2,-0.66,18777.385,0.230769231,0.41772832,0.552350879,453.375,453.8541667,445.1538462,8.700320513,4.902777778
2020/10/22,450,455,449.5,455,2,-3,0.44,25285.547,0.461538462,0.511207865,0.619662158,453.625,452.7083333,444.6346154,8.073717949,3.858440171
2020/10/21,453.5,456,451,453,2,2,0.44,29906.921,0.307692308,0.536042566,0.673889304,453.25,451.0416667,443.9375,7.104166667,2.836627493
2020/10/20,455.5,457,451,451,-6.5,2,-1.42,26567.638,0.421052632,0.650217696,0.742812673,452.5,449.34375,443.1923077,6.151442308,1.953347578
2020/10/19,453,457.5,451,457.5,8.5,-6.5,1.89,34846.906,0.8,0.764800228,0.789110162,455.875,447.5729167,442.1826923,5.390224359,1.277332621
2020/10/16,451,456,448.5,449,-4,8.5,-0.88,48274.801,0.559322034,0.747200342,0.80126513,450.625,445.3958333,441.2115385,4.184294872,0.830662393
2020/10/15,456,456.5,450,453,-6,-4,-1.31,49987.278,0.694915254,0.841139496,0.828297524,453.125,443.1979167,440.3173077,2.880608974,0.586894587
2020/10/14,460.5,461,457,459,-3,-6,-0.65,52677.241,0.903225806,0.914251616,0.821876537,459,440.8125,439.4038462,1.408653846,0.54852208
2020/10/13,465,465,456.5,462,2,-3,0.43,46303.738,1,0.919764521,0.775688998,461.375,438.7604167,438.5288462,0.231570513,0.723201567
2020/10/12,458,462,457.5,460,7,2,1.55,67645.223,1,0.879646782,0.703651237,459.875,436.7916667,437.4903846,-0.698717949,1.091435185
2020/10/8,450,454,448.5,453,10,7,2.26,60853.811,1,0.819470172,0.615653464,452.125,435.34375,436.4663462,-1.122596154,1.622685185
2020/10/7,435,445,435,443,3.5,10,0.8,44691.239,1,0.729205259,0.51374511,441.5,434.7604167,435.6057692,-0.845352564,2.235309829
2020/10/6,441.5,442,437.5,439.5,7,3.5,1.62,36276.395,1,0.593807888,0.406015036,439.625,435.4375,435.3701923,0.067307692,2.751246439
2020/10/5,438,438,431.5,432.5,-0.5,7,-0.12,33238.832,0.558823529,0.390711832,0.31211861,433.625,437,435.6298077,1.370192308,3.110131766
2020/9/30,430.5,435,430.5,433,2,-0.5,0.46,28859.204,0.476190476,0.306655983,0.272821999,432.875,437.875,435.8846154,1.990384615,3.335826211
2020/9/29,432.5,435,428,431,-0.5,2,-0.12,42730.502,0.31372549,0.221888736,0.255905007,431.25,438.4583333,435.9230769,2.53525641,3.466791311
2020/9/28,427,431.5,424.5,431.5,7.5,-0.5,1.77,34427.479,0.242857143,0.17597036,0.272913142,429.75,438.8125,435.8317308,2.980769231,3.511663105
2020/9/25,427,428,421,424,1,7.5,0.24,41263.269,0.028571429,0.142526968,0.321384533,424.25,439.15625,435.6105769,3.545673077,3.361111111
2020/9/24,425.5,429,423,423,-10.5,1,-2.42,82510.381,0,0.199504737,0.410813316,424.5,439.3229167,435.2403846,4.082532051,3.110042735
2020/9/23,436,438.5,432,433.5,-3.5,-10.5,-0.8,47426.963,0,0.299257106,0.516467606,434.375,439.8333333,435.4423077,4.391025641,2.893162393
2020/9/22,440,441,436,437,-3,-3.5,-0.68,36842.639,0.086956522,0.448885659,0.625072855,437.75,439.25,435.4519231,3.798076923,2.689191595
2020/9/21,443.5,450,440,440,-4,-3,-0.9,40193.92,0.419354839,0.629850228,0.713166453,442.5,438.5520833,435.2548077,3.297275641,2.570334758
2020/9/18,447,449.5,443,444,-4.5,-4,-1,52999.922,0.548387097,0.735097923,0.754824566,445.125,438.03125,434.6298077,3.401442308,2.542111823
2020/9/17,453,455,446.5,448.5,-9.5,-4.5,-2.07,44420.506,0.703125,0.828453336,0.764687888,449.625,437.1354167,433.9663462,3.169070513,2.49599359
2020/9/16,460,462,455.5,458,13,-9.5,2.92,70608.238,1,0.891117504,0.732805164,458.375,435.7708333,432.8317308,2.939102564,2.358707265
2020/9/15,440.5,447,439.5,445,4,13,0.91,39661.449,1,0.836676256,0.653648993,444.125,433.3854167,431.7596154,1.625801282,2.229077635
2020/9/14,436,442,435.5,441,4.5,4,1.03,39325.833,1,0.755014384,0.562135362,439.875,432.65625,431.3701923,1.286057692,2.283742877
2020/9/11,435.5,436.5,432.5,436.5,1.5,4.5,0.34,34893.469,1,0.632521576,0.465695851,435.5,433.1979167,431.0673077,2.130608974,2.330573362
2020/9/10,432.5,435,430.5,435,8,1.5,1.87,35281.921,0.9,0.448782364,0.382282989,433.875,433.59375,431.0384615,2.555288462,2.264690171
2020/9/9,425,428,423,427,-4,8,-0.93,40727.362,0.1,0.223173546,0.349033302,426.25,433.59375,430.8653846,2.728365385,2.315883191
2020/9/8,428,433,427.5,431,5,-4,1.17,23714.67,0.277777778,0.284760319,0.411963179,430.625,433.8125,430.7692308,3.043269231,2.437945157
